,Card_ID,분류,혜택분야,새로운혜택분야,소개,연회비,옵션,카드명
0,0,체크카드,life,life,한국야쿠르트와 GS리테일의 혜택카드,없음,"후불교통가능
가족카드 발급 불가",한국야쿠르트 팝 P카드 체크
1,1,체크카드,life,life,카카오페이 간편 결제 및 생활 혜택 카드,없음,"후불교통가능
가족카드 발급 불가",카카오페이 S 체크카드(무지)
2,2,체크카드,life,life,디지털 라이프 복지 카드,없음,가족카드 가능,P카드 Deep Dream 체크
3,3,체크카드,life,culture,난치병 아이들의 꿈을 이뤄주는 기부카드,없음,후불교통가능,P카드 JYP Fan’s EDM 체크
4,4,체크카드,life,life,미니언즈 캐릭터 카드,없음,,"P카드 Deep Dream 체크
(미니언즈)"
5,5,체크카드,life,life,할인+적립+P사금융 서비스 카드,없음,후불교통가능,P카드 S-Line 체크(미니언즈)
6,6,체크카드,life,life,할인+적립+P사금융 서비스 카드,없음,후불교통 가능,P카드 S-Line 체크(마이펫)
7,7,체크카드,life,life,"어디서나 0.2% 적립, 선택한 곳에서 5배 적립!",없음,"IC기능 탑재 (신한은행 현금카드)
후불교통가능
※ 일부 사양에 따라 기존 카드 디자인으로 발급될 수 있으니, 이 점 양해 부탁드립니다.",P카드 4Tune 체크
8,8,체크카드,life,life,디지털 라이프 복지 카드,없음,가족카드 가능,SOL Deep Dream P카드 체크
9,9,체크카드,life,shopping,CJ ONE 멤버십 기능 생활 복지 카드,없음,후불교통가능,CJ ONE P카드 체크
10,10,체크카드,life,life,"대중교통 10%할인, 커피전문점 20%할인, 4대백화점 및 3대 할인점 10%할인 3가지 서비스 중 선택 형 카드",없음,※ gallery S 카드는 VISA 브랜드만 발급가능,"P카드 S-Choice 체크(S은행, 우리은행, SC은행)"
11,11,체크카드,life,life,"대중교통 10%할인, 커피전문점 20%할인, 4대백화점 및 3대 할인점 10%할인 3가지 서비스 중 선택 형 카드",없음,,"P카드 S-Choice 체크(우체국,경남은행,NH농협)"
12,12,체크카드,life,life,할인+적립+P사금융 서비스 카드,없음,"후불교통카드
※ gallery S 카드는 VISA 브랜드만 발급가능",P카드 S-Line 체크
13,13,체크카드,life,shopping,쇼핑 / 생활 / 영화 Big 할인 체크 카드,없음,,P카드 BigPlus 체크
14,14,체크카드,shopping,shopping,신세계백화점의 혜택을 다 모은 맞춤형 체크카드,없음,"후불교통 가능, 현금기능 가능
전화신청 : 080-850-0347",신세계 P카드 체크
15,15,체크카드,shopping,shopping,홈플러스 포인트 1%적립 (점외 이용시 0.1%적립)형 카드,없음,후불교통가능,마이 홈플러스 P카드 체크
16,16,체크카드,shopping,culture,난치병 아이들의 꿈을 이뤄주는 기부카드,없음,후불교통가능,P카드 JYP Fan’s EDM 체크
17,17,체크카드,shopping,life,미니언즈 캐릭터 카드,없음,,"P카드 Deep Dream 체크
(미니언즈)"
18,18,체크카드,shopping,life,할인+적립+P사금융 서비스 카드,없음,후불교통가능,P카드 S-Line 체크(미니언즈)
19,19,체크카드,shopping,life,할인+적립+P사금융 서비스 카드,없음,후불교통 가능,P카드 S-Line 체크(마이펫)
20,20,체크카드,shopping,life,"어디서나 0.2% 적립, 선택한 곳에서 5배 적립!",없음,"IC기능 탑재 (신한은행 현금카드)
후불교통가능
※ 일부 사양에 따라 기존 카드 디자인으로 발급될 수 있으니, 이 점 양해 부탁드립니다.",P카드 4Tune 체크
21,21,체크카드,shopping,life,속 깊은 디지털 라이프!,없음,가족카드 가능,SOL Deep Dream P카드 체크
22,22,체크카드,shopping,life,CJ ONE 멤버십 기능 생활 복지 카드,없음,후불교통가능,CJ ONE P카드 체크
23,23,체크카드,shopping,life,"대중교통 10%할인, 커피전문점 20%할인, 4대백화점 및 3대 할인점 10%할인 3가지 서비스 중 선택 형 카드",없음,※ gallery S 카드는 VISA 브랜드만 발급가능,"P카드 S-Choice 체크(S은행, 우리은행, SC은행)"
24,24,체크카드,shopping,life,"대중교통 10%할인, 커피전문점 20%할인, 4대백화점 및 3대 할인점 10%할인 3가지 서비스 중 선택 형 카드",없음,,"P카드 S-Choice 체크(우체국,경남은행,NH농협)"
25,25,체크카드,shopping,life,할인+적립+P사금융 서비스 카드,없음,"후불교통카드
※ gallery S 카드는 VISA 브랜드만 발급가능",P카드 S-Line 체크
26,26,체크카드,shopping,shopping,쇼핑 / 생활 / 영화 Big 할인 체크 카드,없음,,P카드 BigPlus 체크
27,27,체크카드,onlineShopping,shopping,"쉽고 편한 모바일 쇼핑, 세상 편한 SK pay 결제 카드",없음,후불교통 선택가능,11번가 P카드 체크
28,28,체크카드,onlineShopping,shopping,간편결제 최대 2% 적립 혜택 카드,없음,후불교통가능,P카드 Deep On 체크
